PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=61 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=62 ttl=63 时间=73.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=64 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=65 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=66 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=67 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=68 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=70 ttl=63 时间=72.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=72 ttl=63 时间=73.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=73 ttl=63 时间=73.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=74 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=76 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=77 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=78 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=79 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=80 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=81 ttl=63 时间=75.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=82 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=84 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=85 ttl=63 时间=73.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=86 ttl=63 时间=73.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=88 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=89 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=90 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=91 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=92 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=93 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=94 ttl=63 时间=75.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=95 ttl=63 时间=75.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=96 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=98 ttl=63 时间=75.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=100 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=102 ttl=63 时间=73.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=103 ttl=63 时间=73.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=104 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=105 ttl=63 时间=75.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=106 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=108 ttl=63 时间=76.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=110 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=111 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=112 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=114 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=115 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=116 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=117 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=118 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=120 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=122 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=123 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=124 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=125 ttl=63 时间=77.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=126 ttl=63 时间=75.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=128 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=130 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=132 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=133 ttl=63 时间=0.151 毫秒
64 字节，来自 10.1.1.1: icmp_seq=134 ttl=63 时间=75.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=135 ttl=63 时间=76.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=136 ttl=63 时间=76.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=138 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=139 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=140 ttl=63 时间=76.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=141 ttl=63 时间=77.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=142 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=143 ttl=63 时间=0.118 毫秒
64 字节，来自 10.1.1.1: icmp_seq=144 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=145 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=146 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=148 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=149 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=150 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=151 ttl=63 时间=76.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=152 ttl=63 时间=76.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=154 ttl=63 时间=77.2 毫秒
