PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=208 ttl=63 时间=78.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=209 ttl=63 时间=38.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=210 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=212 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=214 ttl=63 时间=78.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=216 ttl=63 时间=79.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=218 ttl=63 时间=79.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=219 ttl=63 时间=39.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=220 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=222 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=223 ttl=63 时间=79.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=224 ttl=63 时间=79.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=225 ttl=63 时间=80.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=226 ttl=63 时间=79.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=227 ttl=63 时间=40.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=228 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=230 ttl=63 时间=80.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=232 ttl=63 时间=79.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=233 ttl=63 时间=39.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=234 ttl=63 时间=78.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=236 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=237 ttl=63 时间=80.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=238 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=239 ttl=63 时间=81.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=240 ttl=63 时间=81.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=242 ttl=63 时间=79.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=244 ttl=63 时间=79.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=246 ttl=63 时间=80.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=248 ttl=63 时间=81.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=249 ttl=63 时间=40.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=250 ttl=63 时间=82.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=252 ttl=63 时间=81.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=253 ttl=63 时间=81.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=254 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=255 ttl=63 时间=40.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=256 ttl=63 时间=82.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=258 ttl=63 时间=81.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=260 ttl=63 时间=83.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=262 ttl=63 时间=82.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=264 ttl=63 时间=67.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=265 ttl=63 时间=34.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=266 ttl=63 时间=67.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=268 ttl=63 时间=66.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=269 ttl=63 时间=69.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=270 ttl=63 时间=67.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=271 ttl=63 时间=33.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=272 ttl=63 时间=68.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=274 ttl=63 时间=67.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=276 ttl=63 时间=68.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=277 ttl=63 时间=34.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=278 ttl=63 时间=67.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=280 ttl=63 时间=68.6 毫秒
